,Host,ra,dec,alias
0,11 Com,185.179,17.793,HIP 60202
1,11 UMi,229.275,71.824,HIP 74793
2,14 And,352.823,39.236,HIP 116076
3,14 Her,242.601,43.818,HIP 79248
4,16 Cyg,295.467,50.518,HIP 96901
5,18 del,314.608,10.839,HIP 103527
6,1RXS1609,242.376,-21.083,
7,24 Boo,217.158,49.845,HIP 70791
8,24 Sex,155.868,-0.902,HIP 50887
9,2MASS J02192210-3925225,34.842,-39.423,
10,2MASS J04414489+2301513,70.437,23.031,
11,2MASS 1207,181.889,-39.548,"2MASS J12073346-3932539,2MASSW J1207334-393254,USNO-B1.0 0504-00258166,TWA 27,WDS J12076-3933AB,NAME 2M1207,** CVN   12,NAME 2M1207A,DENIS J120733.4-393254,WISE J120733.42-393254.2,2M 1207-39 b,2MASSW J1207334-393254 b,2MASS1207-3932 B,2M1207B,2M1207 b,2M 1207 b,2MASS J12073346-3932539 b"
12,2MASS 1938+4603,294.636,46.066,
13,2MASS J21402931+1625183,325.122,16.422,
14,2MASS J22362452+4751425,339.102,47.862,
15,30 Ari,39.241,24.648,HIP 12184
16,4 UMa,130.053,64.328,HIP 42527
17,42 Dra,276.496,65.563,HIP 90344
18,47 UMa,164.867,40.43,HIP 53721
